id,name,age,salary,department,number_of_years_worked
98.0,Lawrence Richardson,63.0,87636.0,,
,,,40301.0,,26.0
100.0,Arthur Chang,45.0,,,
,Bradley Horne,,,,30.0
,Emily Carroll,63.0,69569.0,,13.0
103.0,,64.0,125813.0,,34.0
104.0,Adam Day,,,Engineering,29.0
105.0,Fred Larsen,65.0,109555.0,,34.0
106.0,Megan Harris,54.0,50999.0,,24.0
107.0,Kirsten Frost,43.0,131060.0,,26.0
,Lori Moran,,142805.0,IT,24.0
109.0,Jacob Ortiz,,144872.0,Sales,20.0
110.0,,24.0,111872.0,Finance,1.0
111.0,Nicole Irwin,63.0,67365.0,,
112.0,,,125945.0,,30.0
,Anna Mcdowell,42.0,88031.0,,19.0
114.0,Douglas Atkins,64.0,126063.0,,40.0
115.0,Chloe Harding,43.0,71874.0,Sales,
116.0,Travis Montgomery,35.0,53938.0,,8.0
117.0,Trevor Kemp,,60028.0,Human Resources,
118.0,,,122242.0,IT,29.0
119.0,Chelsey Wade,59.0,71408.0,Finance,40.0
120.0,Robert Fuentes,58.0,50784.0,,39.0
121.0,,,54035.0,Finance,10.0
,Angel Saunders,,,,29.0
123.0,Diana Hampton,27.0,85157.0,Marketing,29.0
124.0,Robin Mccarty,58.0,109505.0,IT,34.0
125.0,Betty Baldwin,29.0,76302.0,Legal,20.0
,Jenny Malone,36.0,145724.0,,5.0
127.0,Dwayne Gray,57.0,42061.0,,2.0
128.0,Carolyn Hardin,,70533.0,IT,21.0
129.0,Yvette Morris,,56292.0,,28.0
130.0,,,120052.0,Engineering,4.0
131.0,Craig Lyons,52.0,95727.0,,14.0
132.0,Gloria Griffith,50.0,71617.0,,26.0
133.0,Henry Lucero,,138129.0,Engineering,16.0
134.0,Elaine Mcguire,42.0,,Legal,15.0
135.0,Shannon Miller,49.0,51745.0,Sales,
136.0,Dominique Frey,,53163.0,Finance,26.0
137.0,Kendra Massey,,73198.0,Sales,
138.0,Sharon Hardy,36.0,129964.0,IT,9.0
139.0,Kelly Richardson,,53904.0,,
140.0,Lindsay Blackwell,31.0,120387.0,Human Resources,1.0
,Rhonda Chase,,62683.0,,33.0
,Ralph Wheeler,47.0,56441.0,,36.0
,Brittany Richard,,,,16.0
144.0,,53.0,72153.0,Sales,31.0
145.0,Kristine Mcgee,,,Marketing,13.0
146.0,Lindsay Oneill,23.0,71573.0,,
147.0,Cathy Howard,,,IT,34.0
,,27.0,,Marketing,6.0
,Haley Ortega,40.0,52484.0,Finance,24.0
150.0,,41.0,45234.0,,
,,,108858.0,Marketing,36.0
152.0,Jade Mendez,60.0,84877.0,Legal,9.0
153.0,Randy Christensen,25.0,68378.0,Engineering,38.0
154.0,,46.0,101641.0,Sales,36.0
155.0,,61.0,63083.0,Sales,5.0
,Willie Hicks,29.0,108070.0,,37.0
,Tanya Barton,,51776.0,Engineering,7.0
158.0,Barbara Richard,,,,4.0
159.0,Maurice Bradford,26.0,89535.0,,24.0
160.0,Alex Garcia,55.0,,,21.0
,Jeanne Lamb,29.0,100829.0,Customer Service,8.0
162.0,Veronica Becker,35.0,68641.0,Human Resources,12.0
163.0,,,72199.0,Finance,
164.0,George Freeman,23.0,106249.0,,
165.0,Shawn Castillo,52.0,142925.0,Finance,2.0
166.0,Jenny Turner,31.0,116874.0,Customer Service,
167.0,,36.0,71392.0,,12.0
168.0,Sydney Richards,38.0,62427.0,Engineering,16.0
169.0,Mikayla Ingram,,112877.0,Sales,
170.0,Ian Barton,,98052.0,Human Resources,
171.0,Randall Daugherty,22.0,95532.0,Engineering,8.0
172.0,Colin Leach,58.0,104373.0,,36.0
173.0,,,71089.0,Human Resources,5.0
,Brent Walter,44.0,48987.0,Human Resources,23.0
175.0,Kenneth Singh,57.0,,Sales,
176.0,David Colon,34.0,46211.0,Engineering,23.0
177.0,Seth Frey,63.0,116996.0,Marketing,19.0
178.0,Alejandra Harrington,36.0,51702.0,Marketing,
179.0,Allison Kidd,51.0,47660.0,,
180.0,Randy Hartman,22.0,62952.0,,35.0
181.0,,58.0,88836.0,Marketing,20.0
182.0,,33.0,122555.0,Human Resources,20.0
183.0,Judy Lawson,47.0,,,
184.0,Todd Cameron,,127932.0,Human Resources,18.0
185.0,,32.0,47543.0,Marketing,
186.0,,,40779.0,Engineering,36.0
,Danielle Ramirez,30.0,,Legal,10.0
188.0,Kirk Griffin,57.0,100970.0,,33.0
189.0,Alexis Mccarthy,65.0,136712.0,,
190.0,,46.0,92754.0,Customer Service,7.0
191.0,Alyssa Larsen,35.0,147442.0,Customer Service,2.0
192.0,Stephen Lowery,26.0,136070.0,Customer Service,38.0
193.0,Robin Schneider,40.0,101287.0,,23.0
194.0,,39.0,,IT,15.0
,Natalie Harding,58.0,120258.0,,22.0
196.0,Clayton Love,45.0,131227.0,Human Resources,3.0
197.0,,23.0,53666.0,IT,34.0
198.0,Erik Livingston,,53379.0,Customer Service,
199.0,Brianna Hill,,50136.0,Human Resources,4.0
,Vickie Klein,32.0,127636.0,Sales,
201.0,,,50886.0,IT,8.0
202.0,Connie Neal,45.0,82843.0,Engineering,3.0
,Suzanne Mcmillan,65.0,,,30.0
204.0,Marvin Summers,56.0,,Marketing,15.0
205.0,Colton Browning,49.0,81000.0,Marketing,12.0
206.0,,,,Sales,10.0
207.0,Brad Hobbs,23.0,,IT,4.0
208.0,Carl Holloway,38.0,109127.0,,
209.0,Ruth Pace,31.0,124337.0,,
210.0,Edwin Frost,,92203.0,,14.0
211.0,Jeffery Branch,54.0,72615.0,,
212.0,Vanessa Hutchinson,63.0,44142.0,Engineering,19.0
213.0,,54.0,,Human Resources,35.0
,Kirsten Burgess,42.0,66782.0,Sales,
215.0,Marc Hart,,101578.0,,
216.0,,22.0,110851.0,Marketing,
,,27.0,135077.0,,18.0
,Emily Turner,32.0,58267.0,Finance,23.0
219.0,Pam Silva,,78885.0,Finance,31.0
220.0,Yesenia Fernandez,33.0,111824.0,,
221.0,,26.0,,Legal,9.0
,Manuel Mendez,46.0,90157.0,Customer Service,31.0
,Levi Wolfe,26.0,140649.0,,39.0
,,63.0,131887.0,Finance,30.0
225.0,Michele Roberson,53.0,144561.0,Human Resources,
226.0,Ana Whitehead,45.0,83324.0,IT,5.0
227.0,Joshua Bailey,49.0,78001.0,Marketing,
228.0,Richard Simon,43.0,,Marketing,8.0
,Ivan Moran,47.0,,Marketing,39.0
230.0,Christine Chung,57.0,90525.0,Customer Service,9.0
,Jillian Wiley,47.0,49505.0,Engineering,29.0
232.0,,57.0,108330.0,Legal,
,Tyler Irwin,33.0,146718.0,Finance,38.0
234.0,Rose Bauer,,,,27.0
235.0,Janice Wiley,22.0,118187.0,Marketing,21.0
,,63.0,,Sales,12.0
,,57.0,100110.0,Legal,22.0
,,60.0,45825.0,,39.0
239.0,Paige Sparks,22.0,110530.0,Human Resources,33.0
,,53.0,119642.0,,35.0
241.0,,47.0,139909.0,Engineering,
242.0,Jackson Hall,22.0,82988.0,Engineering,21.0
243.0,Mark Harper,,53657.0,IT,12.0
,Larry Woodard,41.0,112857.0,,34.0
245.0,,63.0,90798.0,Finance,2.0
246.0,Andrea Calderon,63.0,101502.0,Engineering,7.0
247.0,Luke Daniel,50.0,142241.0,Human Resources,
248.0,,39.0,101274.0,Marketing,38.0
249.0,Mercedes Trujillo,24.0,73180.0,,
250.0,Joyce Patrick,42.0,95284.0,Human Resources,21.0
251.0,Tracie Peters,,92412.0,Customer Service,39.0
252.0,Wendy Adkins,38.0,94823.0,Sales,40.0
253.0,,,,Human Resources,22.0
254.0,Nicole Cardenas,,119928.0,Marketing,
255.0,Mandy Henry,58.0,135761.0,Finance,17.0
256.0,Gabriela Wong,27.0,116492.0,IT,
,Alejandra Skinner,,148606.0,IT,
258.0,Taylor Edwards,57.0,107966.0,Marketing,16.0
,Billy Aguilar,30.0,79664.0,Marketing,15.0
,,56.0,71555.0,Sales,25.0
261.0,Joann Harmon,29.0,52311.0,Human Resources,4.0
262.0,,62.0,110720.0,Marketing,
263.0,Paul Mcneil,,,,16.0
264.0,Tasha Braun,22.0,122038.0,Marketing,21.0
265.0,,49.0,85826.0,Human Resources,37.0
266.0,Dwayne Jimenez,,,Customer Service,40.0
267.0,,,73347.0,,14.0
,Lisa Howe,,60324.0,,32.0
269.0,Jared Davies,59.0,72017.0,Marketing,18.0
270.0,Victoria Burnett,52.0,111422.0,Engineering,22.0
271.0,,40.0,118586.0,,32.0
,Rebecca Castaneda,,117192.0,Finance,8.0
273.0,Sandra Cannon,38.0,57016.0,Finance,
274.0,Diane Flowers,49.0,134292.0,Finance,38.0
,Douglas Mathews,,138593.0,Customer Service,4.0
,Jean Wilcox,34.0,110326.0,,13.0
277.0,Russell West,34.0,75656.0,Finance,38.0
278.0,Betty Martinez,25.0,109361.0,,2.0
,Darren Zimmerman,61.0,86699.0,Engineering,24.0
280.0,Benjamin Robles,,91959.0,,36.0
281.0,Aaron Sharp,39.0,45544.0,,11.0
282.0,Dorothy Flynn,46.0,105421.0,,32.0
283.0,,58.0,,,
284.0,Jordan Craig,33.0,146389.0,Marketing,22.0
285.0,,54.0,,Customer Service,1.0
,,57.0,85225.0,,23.0
,Alex Pace,30.0,116908.0,,
288.0,,36.0,,IT,36.0
289.0,Abigail Stephens,51.0,108415.0,IT,32.0
,Eddie Hansen,46.0,,Customer Service,40.0
291.0,Gregg Saunders,25.0,,Marketing,32.0
,Carly Savage,36.0,,Marketing,
,Samantha Beasley,28.0,65244.0,Customer Service,5.0
,Meredith Boyle,46.0,105023.0,,30.0
,James Kramer,46.0,60250.0,Engineering,31.0
296.0,Martha Sharp,37.0,53571.0,Legal,5.0
297.0,Colin Luna,58.0,149926.0,,10.0
298.0,Pam Vaughn,47.0,122374.0,Finance,20.0
,Craig Farrell,,136696.0,Customer Service,28.0
,,56.0,,,
301.0,Gary Valencia,42.0,129248.0,Legal,25.0
302.0,,,,Human Resources,30.0
303.0,,,73830.0,Customer Service,26.0
304.0,Bianca Conley,,,Finance,15.0
305.0,Craig Patton,,69243.0,IT,3.0
306.0,Destiny Bailey,63.0,93399.0,Finance,33.0
,Victoria Holmes,40.0,,Human Resources,16.0
308.0,Elijah Morgan,41.0,135550.0,,
309.0,Marvin Ibarra,47.0,81900.0,Human Resources,35.0
310.0,Antonio Mendez,63.0,77139.0,Finance,39.0
311.0,Harry West,,121267.0,Legal,31.0
,,,50919.0,Customer Service,
313.0,Jerry Hurst,37.0,47755.0,Sales,16.0
314.0,Gloria Lowe,29.0,59802.0,Sales,25.0
,Gina Goodwin,,107355.0,Customer Service,23.0
,Jerry Brooks,22.0,,IT,1.0
317.0,,26.0,132164.0,IT,
318.0,,44.0,,Sales,30.0
319.0,,50.0,132476.0,IT,26.0
320.0,Cameron Buchanan,44.0,142186.0,IT,14.0
321.0,,31.0,51954.0,Customer Service,
322.0,Stephanie Stout,52.0,,Customer Service,4.0
323.0,Claudia Webster,28.0,131285.0,Customer Service,23.0
324.0,,,82600.0,IT,16.0
325.0,Shelly Atkinson,54.0,,Finance,34.0
,,43.0,143142.0,Legal,33.0
327.0,Brett Oneal,55.0,69442.0,,35.0
328.0,Lynn Clark,29.0,107578.0,,33.0
329.0,,,131503.0,Sales,24.0
330.0,Jaclyn Stout,38.0,66772.0,Engineering,8.0
,Jeanne Calhoun,54.0,73865.0,,
332.0,Omar Hensley,59.0,125714.0,Legal,
333.0,,41.0,119613.0,Finance,
,Bonnie Barr,33.0,115814.0,Human Resources,14.0
335.0,April Holt,42.0,130930.0,,9.0
,,44.0,,Marketing,24.0
337.0,Richard Green,,86787.0,Marketing,32.0
338.0,,57.0,91248.0,Engineering,22.0
339.0,Jeremiah Juarez,,143843.0,Engineering,11.0
340.0,Casey Mack,,,,13.0
341.0,Samuel Braun,34.0,,Finance,35.0
,Darrell Tucker,58.0,,Sales,35.0
,Loretta Andrade,22.0,94057.0,Marketing,30.0
344.0,Taylor Walters,,47603.0,Human Resources,33.0
,Katrina Chung,,59270.0,,31.0
346.0,Garrett Mills,,64230.0,Sales,6.0
347.0,Katie Brown,51.0,108424.0,,
348.0,Taylor Velez,45.0,75234.0,,23.0
349.0,Brian Howard,61.0,124122.0,,28.0
350.0,Maria Frazier,25.0,51511.0,Marketing,33.0
351.0,Erika Fernandez,,85025.0,Marketing,22.0
352.0,Debra Murphy,54.0,102334.0,,
,Isaiah Herring,40.0,,Engineering,40.0
,Dean Atkins,46.0,128525.0,IT,29.0
355.0,Joe Abbott,45.0,,Finance,18.0
,,29.0,54201.0,IT,25.0
,Brandon Woodard,,99646.0,Human Resources,7.0
358.0,Brooke Jensen,63.0,146488.0,Human Resources,37.0
359.0,Jon Sparks,45.0,,Human Resources,40.0
,Kendra Downs,,69860.0,Sales,21.0
361.0,Howard Colon,55.0,90717.0,Marketing,14.0
362.0,,39.0,73185.0,Legal,
,Raymond Bowman,,107140.0,Legal,6.0
364.0,Mike Neal,57.0,,,35.0
365.0,Brianna Horn,25.0,103450.0,IT,32.0
366.0,Laura Mann,63.0,49675.0,,36.0
367.0,Maria Kim,54.0,63962.0,Legal,
368.0,,55.0,65115.0,Engineering,17.0
369.0,Gordon Colon,63.0,86464.0,,29.0
370.0,Jeanne Gregory,26.0,108679.0,Sales,
371.0,Erik Chavez,,124846.0,,18.0
372.0,Rose Chapman,54.0,49118.0,Finance,
373.0,Pedro Barrett,53.0,58231.0,Engineering,
,Cameron Hanna,46.0,,Customer Service,18.0
375.0,Michael Bullock,,49972.0,Marketing,
,Jillian Perry,31.0,69051.0,Engineering,31.0
377.0,Briana Booker,54.0,86036.0,Customer Service,16.0
378.0,Harry Atkins,54.0,73539.0,Marketing,37.0
379.0,Jody Briggs,,118894.0,Legal,2.0
380.0,Monica Kelly,46.0,45400.0,Finance,
381.0,Autumn Spencer,58.0,,,20.0
382.0,Wayne Gutierrez,57.0,,Finance,24.0
,Alex Wilcox,,,,
,Stacy Warren,50.0,124446.0,Marketing,4.0
385.0,Pam Bishop,,83220.0,,7.0
386.0,Marissa Goodwin,31.0,57746.0,Customer Service,
387.0,Andrew Farmer,31.0,71285.0,Legal,5.0
388.0,Shelia Franklin,38.0,103981.0,Human Resources,
389.0,,64.0,,Marketing,29.0
,Kyle Warner,44.0,67630.0,,18.0
391.0,,,149994.0,Human Resources,21.0
392.0,Alexandra Dean,36.0,,Legal,28.0
393.0,William Hendricks,43.0,,Human Resources,
394.0,,,61309.0,Engineering,37.0
395.0,,,73529.0,Engineering,11.0
396.0,Claudia Klein,46.0,75382.0,Finance,40.0
397.0,Charlotte Goodwin,31.0,86129.0,Human Resources,40.0
398.0,Ricky Pineda,33.0,99966.0,Engineering,20.0
399.0,David Brown,50.0,,Engineering,
400.0,Jeremiah Farmer,,,Sales,24.0
401.0,,29.0,58212.0,Finance,8.0
402.0,,26.0,57106.0,Marketing,
403.0,,38.0,129560.0,Finance,
,Craig Santana,,,Legal,34.0
405.0,Richard Sexton,,69103.0,Legal,9.0
406.0,Douglas Pace,38.0,106501.0,Sales,40.0
407.0,Beth Mahoney,22.0,,Human Resources,12.0
408.0,Omar Kim,44.0,82453.0,Human Resources,
,Carla Ritter,48.0,109429.0,Legal,21.0
410.0,,23.0,58250.0,IT,37.0
411.0,Gerald Hinton,54.0,57016.0,Legal,
412.0,,64.0,62206.0,,26.0
413.0,Justin Hardin,27.0,134852.0,,15.0
,Isaiah Powers,62.0,146513.0,Legal,
415.0,Alyssa Newton,38.0,56157.0,Legal,23.0
416.0,,55.0,101275.0,Sales,36.0
417.0,Mallory Mason,63.0,118139.0,Legal,31.0
418.0,Carol Guerrero,,,Engineering,34.0
419.0,Harry Elliott,,140976.0,IT,5.0
420.0,Troy May,,77920.0,Sales,18.0
421.0,,56.0,83802.0,Engineering,7.0
,Kyle Wilkinson,,145227.0,Marketing,12.0
423.0,,38.0,104928.0,Engineering,
424.0,Wendy Cowan,31.0,60161.0,Human Resources,6.0
,Gordon Williamson,,58716.0,Marketing,
426.0,,49.0,48400.0,,38.0
427.0,Jermaine Stone,,76034.0,IT,35.0
,,64.0,84482.0,IT,18.0
429.0,Kimberly Sexton,53.0,134308.0,Finance,13.0
,Heather Arnold,30.0,74281.0,Marketing,30.0
,Benjamin Decker,42.0,79665.0,Sales,40.0
,Dean Branch,45.0,55318.0,Legal,3.0
433.0,Matthew Ramirez,,51035.0,Human Resources,22.0
434.0,,48.0,,Customer Service,26.0
,Sonya Sellers,,119063.0,Customer Service,
436.0,,42.0,99459.0,Human Resources,
437.0,John Cabrera,39.0,78114.0,Marketing,32.0
438.0,Corey Harrington,50.0,99889.0,,11.0
439.0,Beverly Jordan,63.0,91590.0,,
440.0,Elaine Fowler,31.0,103211.0,IT,35.0
441.0,,62.0,109556.0,,19.0
442.0,Jasmine Gonzales,42.0,115941.0,,27.0
443.0,,42.0,120402.0,Sales,23.0
,Lorraine Chandler,58.0,120077.0,,19.0
445.0,Shari Nelson,,47751.0,Marketing,2.0
446.0,Willie Hodges,44.0,,Engineering,20.0
447.0,,,52553.0,Engineering,18.0
,Carla Lin,35.0,,,32.0
449.0,Michael West,41.0,128337.0,,27.0
450.0,Joshua Prince,28.0,81514.0,Human Resources,39.0
451.0,Cathy Ferguson,,,Engineering,1.0
,Nicolas Donaldson,,73004.0,IT,18.0
453.0,Debbie Ramirez,,41484.0,Customer Service,5.0
454.0,,25.0,111134.0,IT,31.0
455.0,Kaitlyn Dean,,,Human Resources,24.0
456.0,Laurie Weeks,,53887.0,Sales,29.0
457.0,Stacey Holland,60.0,,Engineering,
,,38.0,126812.0,IT,
459.0,Monique Knox,60.0,99073.0,Customer Service,7.0
460.0,Carolyn Hicks,39.0,120500.0,Sales,
,,44.0,94775.0,,16.0
462.0,Luis Strong,59.0,128737.0,,3.0
463.0,Vanessa Holloway,41.0,47267.0,,
464.0,,,43767.0,Engineering,33.0
465.0,Christian Rivers,27.0,,Sales,4.0
466.0,Kayla Floyd,24.0,66707.0,Legal,35.0
,Jillian Gamble,29.0,,IT,40.0
468.0,Dean Flores,45.0,67873.0,Engineering,
469.0,Brooke Savage,63.0,148089.0,Legal,
470.0,Henry Sexton,55.0,,,30.0
471.0,,49.0,,Legal,14.0
472.0,,41.0,,Marketing,4.0
,Ashley Ferguson,46.0,140701.0,Engineering,
474.0,Destiny Garrett,36.0,125826.0,IT,15.0
475.0,Jeffrey Boyer,30.0,53329.0,Marketing,31.0
476.0,Autumn Gutierrez,,70064.0,,14.0
,,,,Human Resources,23.0
478.0,Mike Hicks,54.0,148498.0,Customer Service,21.0
479.0,Marisa Bradley,65.0,127727.0,Customer Service,18.0
480.0,Nicole Farmer,55.0,,Legal,
481.0,Chris Barnett,,,,22.0
482.0,Danny Frost,60.0,100952.0,Sales,16.0
483.0,Shelia Washington,,123553.0,Sales,28.0
484.0,,,94330.0,,36.0
485.0,,39.0,,Marketing,18.0
486.0,,22.0,49284.0,,13.0
487.0,Gordon Archer,39.0,44516.0,Marketing,14.0
488.0,,30.0,88540.0,Finance,19.0
489.0,Tracie Mathews,61.0,52988.0,,17.0
490.0,,24.0,106139.0,Customer Service,
491.0,Briana Graham,43.0,138127.0,IT,
492.0,David Baker,37.0,83109.0,Human Resources,32.0
493.0,Morgan Donaldson,62.0,95229.0,Finance,25.0
494.0,Nathaniel Mosley,,116544.0,Engineering,22.0
495.0,Michele French,22.0,64797.0,Finance,10.0
496.0,,30.0,64290.0,IT,
497.0,,42.0,48719.0,Human Resources,2.0
498.0,George Riley,59.0,106882.0,,36.0
499.0,Thomas Russo,,73065.0,Finance,23.0
,Nathaniel Gamble,,53147.0,IT,2.0
501.0,Madison Ward,29.0,48457.0,Human Resources,39.0
502.0,,61.0,,Marketing,2.0
503.0,Dennis Jackson,53.0,118282.0,Marketing,18.0
,Kimberly Manning,33.0,122269.0,Customer Service,17.0
,Denise Ramsey,44.0,101079.0,Engineering,8.0
,Penny Aguirre,35.0,,Sales,6.0
507.0,Diamond Reid,,114154.0,,23.0
,Martha Carson,27.0,75868.0,Finance,27.0
509.0,Renee Weiss,,107925.0,IT,14.0
510.0,Gabriel Sparks,42.0,,,26.0
511.0,,42.0,61186.0,Engineering,27.0
,Robin Dunn,64.0,107398.0,Finance,35.0
513.0,Molly Charles,46.0,54580.0,Customer Service,
,Jaclyn Morales,43.0,92502.0,,8.0
515.0,Maria Forbes,52.0,,IT,38.0
516.0,Jane Patrick,51.0,60917.0,,24.0
517.0,,,48452.0,,29.0
518.0,Michele Matthews,55.0,55058.0,Engineering,
519.0,Trevor Oliver,40.0,56683.0,Finance,
,Cheryl Cruz,23.0,,Sales,
521.0,Peggy Collins,,141445.0,Marketing,12.0
522.0,,36.0,63866.0,IT,29.0
523.0,Lori Joseph,,44604.0,IT,12.0
524.0,,53.0,64606.0,Marketing,30.0
525.0,Paul Hayes,40.0,111249.0,Engineering,15.0
526.0,Pamela Fisher,39.0,125882.0,IT,14.0
527.0,,50.0,125938.0,Customer Service,
528.0,Gregory Blackwell,,89124.0,IT,
529.0,Carl Wise,55.0,110733.0,,
,,30.0,64323.0,Human Resources,22.0
,Tracie Valentine,38.0,40826.0,Legal,15.0
532.0,Gail Bartlett,44.0,80842.0,Human Resources,24.0
533.0,Phillip Holland,25.0,133698.0,Finance,3.0
,Kristina Marquez,34.0,57728.0,,18.0
535.0,Darlene Murillo,39.0,105089.0,Finance,36.0
,Kyle Orr,,126975.0,,
,,60.0,113883.0,Finance,
,,,92020.0,IT,9.0
,,46.0,131732.0,IT,
540.0,Melanie Conley,,47431.0,Customer Service,2.0
541.0,Brittany Atkins,63.0,74285.0,Legal,
542.0,Randy Nash,26.0,106472.0,IT,
543.0,,30.0,,Customer Service,
544.0,Dustin Reid,,138647.0,Sales,
545.0,,23.0,125632.0,Sales,9.0
546.0,,24.0,85639.0,Engineering,18.0
547.0,Juan Gomez,39.0,126752.0,Customer Service,
548.0,Caleb Martinez,41.0,,Engineering,22.0
549.0,,,128326.0,IT,6.0
550.0,,25.0,,Engineering,34.0
551.0,Joanna Valencia,29.0,70147.0,,19.0
552.0,,53.0,87332.0,IT,14.0
553.0,,,83931.0,Customer Service,
554.0,Gabriella Randall,41.0,,Marketing,34.0
555.0,Bill Mcbride,23.0,51442.0,,39.0
556.0,Gregg Ochoa,,,Finance,12.0
557.0,Luis Barnes,60.0,54804.0,Customer Service,28.0
558.0,,28.0,60528.0,IT,
559.0,Carl Reilly,,78469.0,Human Resources,16.0
,,31.0,56435.0,Finance,21.0
561.0,Regina Francis,59.0,121303.0,Sales,2.0
562.0,Edgar Davies,,66532.0,,14.0
563.0,Harold Rice,58.0,58381.0,Sales,
,Leslie Boyle,49.0,96007.0,,5.0
,Howard Mills,37.0,90548.0,,16.0
566.0,Nathaniel Ashley,45.0,144073.0,Engineering,13.0
567.0,Bill Potts,24.0,53667.0,,
568.0,Erica Hernandez,39.0,66527.0,Sales,16.0
569.0,,48.0,,,10.0
570.0,Mark Hutchinson,62.0,96893.0,Customer Service,
571.0,George Bowen,37.0,,Legal,4.0
